Order ID,Order Date,Order Mode,Customer ID,Postal Code,City (Cleaned),Country (Cleaned),Region (Cleaned),Product ID,Product Name,Category,Segment,Sub-Category,Sales,Cost Price,Quantity,Discount,Total Sales,Total Cost Price,Net Profit,Profit Margin
KGG-011787,2023-01-01,In-Store,NV061613,NG34,Newton,England,East Midlands,01JZ3N50JN2EP4TYFBR2DYHPE6,Portable Jump Starter,Automotive,Automotive,Automotive Accessories,58.99,17.45,14,0.16,825.86,244.26,581.60,0.70
WKF-959232,2023-01-01,In-Store,LI019958,LS9,Halton,England,Yorkshire & the Humber,01JZ3NCATRMM1NE5DD1RZ9YEKF,Foot Massager Machine,Health,Health,Wellness & Relaxation,59.14,17.50,19,0.17,1123.66,332.44,791.22,0.70
UEG-407398,2023-01-02,Online,WT084998,RG20,Newtown,England,South East,01JZ3NR5JQTFT7NQFCSPYJZ9RH,Tortilla Chips,Food , Snacks,Chips and Crisps,2.14,0.70,4,0.29,8.56,2.78,5.78,0.67
OQM-482402,2023-01-02,In-Store,EC090021,DT10,Kingston,England,South West,01JZ3N57YZDBW1KWS6SQSCFAEJ,Garlic and Herb Cream Cheese,Food , Dairy,Cheese Spreads,2.64,0.55,1,0.10,2.64,0.55,2.09,0.79
JSY-858264,2023-01-02,In-Store,AK047185,RH5,Sutton,England,South East,01JZ3N517FHAQZQGABMM53QAY3,Raspberry Lemonade Mix,Food , Beverages,Drink Mixes,2.99,0.65,19,0.24,56.81,12.29,44.52,0.78
RMF-443113,2023-01-02,Online,DC047266,W1F,London,England,London,01JZ3NR6MZEZEGEP25WV97CJEP,Pineapple Salsa,Food , Condiments,Salsas & Dips,3.54,1.47,1,0.06,3.54,1.47,2.07,0.59
PHE-427547,2023-01-02,Online,XS041385,DL10,Whitwell,England,Yorkshire & the Humber,01JZ3NR3XVP87YDW0MH3DAXN5R,Dark Chocolate Covered Almonds,Food , Snacks,Nuts and Trail Mix,6.34,2.38,13,0.03,82.42,30.89,51.53,0.63
BGD-209617,2023-01-02,In-Store,JR000324,EC3M,London,England,London,01JZ3NCFX2468YPNRF3YMTWRV4,Cold Brew Coffee Concentrate,Food , Beverages,Coffee,7.14,1.90,3,0.37,21.42,5.69,15.73,0.73
OQH-027002,2023-01-02,Online,MG053337,BT66,Craigavon,Northern Ireland,Northern Ireland,01JZ3NR6YQQW9YGWNDJJY9HAMQ,Travel Laundry Bag,Travel,Travel,Travel Accessories,9.14,3.50,15,0.38,137.10,52.44,84.66,0.62
HCZ-313488,2023-01-02,Online,PI091780,SN1,Swindon,England,South West,01JZ3N59Y7ZFY28XDC49K343YD,Foldable Yoga Mat,Fitness,Fitness,Yoga Equipment,29.14,8.50,2,0.37,58.28,16.99,41.29,0.71
JYL-490499,2023-01-02,In-Store,FQ012040,CB4,Church End,England,East of England,01JZ3N525CG89W2EKYHZEQ59VR,Graphic Sweatshirt,Clothing , Tops,Graphic Tees,33.99,9.95,11,0.31,373.89,109.42,264.47,0.71
SOB-695699,2023-01-02,Online,BQ053672,IV1,Newton,Scotland,Scotland,01JZ3NC50JGN15KA05Z133ZFJW,Spice Rack,Kitchen,Kitchen,Kitchen Storage & Organization,39.14,11.50,10,0.38,391.40,114.97,276.43,0.71
ABE-002240,2023-01-02,In-Store,QR097023,N3,Church End,England,London,01JZ3NCG2FDECTCEFKERRSY2D6,Personal Blender,Kitchen,Kitchen,Small Appliances,39.24,11.75,20,0.03,784.80,234.94,549.86,0.70
QKO-862632,2023-01-03,Online,SI013737,RH5,Sutton,England,South East,01JZ3NTAK6T784CM5BWN514Z55,Couscous,Food , Grains,Pasta,1.64,0.50,15,0.12,24.60,7.44,17.16,0.70
UWC-683768,2023-01-03,Online,YY051280,G4,Glasgow,Scotland,Scotland,01JZ3NC5KM9J08KEKNP166NEDJ,Mayonnaise,Food , Condiments,Sauces,2.44,0.49,3,0.30,7.32,1.46,5.86,0.80
YNK-651669,2023-01-03,In-Store,PV059813,L33,Liverpool,England,North West,01JZ3NR37A4J3N39T91N8XXZG3,Garlic Breadsticks,Food , Sides,Bread & Rolls,2.64,0.90,9,0.27,23.76,8.06,15.70,0.66
NVV-939246,2023-01-03,In-Store,FI092285,OX12,Charlton,England,South East,01JZ3N59N29JE02F5TRTSMKC5B,Fresh Strawberries,Food , Produce,Fruits,3.14,0.70,7,0.25,21.98,4.88,17.10,0.78
HYW-413712,2023-01-03,In-Store,JZ045419,DN36,West End,England,East Midlands,01JZ3N5895JYW98PREYMJTG17A,Beef Chili,Food , Canned Goods,Soups & Broths,4.50,1.35,7,0.36,31.50,9.45,22.05,0.70
PAX-046734,2023-01-03,In-Store,QT000911,WC2H,London,England,London,01JZ3NC4RKK361GKKSN55T3HGZ,Barbecue Chicken Pizza,Food , Frozen Foods,Frozen Pizza,8.14,2.20,10,0.17,81.40,21.97,59.43,0.73
WRR-645948,2023-01-03,Online,GC074723,DL10,Whitwell,England,Yorkshire & the Humber,01JZ3NC67DJVQRHTTH40ZERK3Z,Body Pillow Case,Home,Home,Bedding & Linens,14.14,4.00,11,0.39,155.54,43.97,111.57,0.72
WXB-908388,2023-01-03,Online,RK059956,EH9,Edinburgh,Scotland,Scotland,01JZ3N59NTMPBAMATPA39A82GH,Face Mask Set,Health,Health,Personal Care & Grooming,19.14,5.50,4,0.22,76.56,21.99,54.57,0.71
QXU-828315,2023-01-03,In-Store,LT072133,BT2,Belfast,Northern Ireland,Northern Ireland,01JZ3N5CXWTRS63K8P6A74VA05,Shatterproof Wine Glasses,Outdoor,Outdoor,Outdoor Accessories,24.99,7.50,1,0.19,24.99,7.50,17.49,0.70
EYW-435877,2023-01-03,In-Store,BK068877,BS14,Whitchurch,England,South West,01JZ3NC9WJMARY479ZA8T4XPJ5,Heavy Duty Gardening Tool Set,Garden,Garden,Garden Tools,49.24,14.75,7,0.03,344.68,103.23,241.45,0.70
VMI-435619,2023-01-03,In-Store,RO095157,L33,Liverpool,England,North West,01JZ3NTK84AZRGP5R1ZZ518QC7,Compact Digital Camera,Photography,Photography,Digital Cameras,249.24,99.75,18,0.10,4486.32,1795.43,2690.89,0.60
QMJ-388548,2023-01-04,Online,LR063902,BS41,Bristol,England,South West,01JZ3N55QAK5FSHMPNACECT7AF,Pumpkin Puree,Food , Canned Goods,Vegetable Purees,1.99,0.35,9,0.29,17.91,3.12,14.79,0.83
RNA-032911,2023-01-04,In-Store,AK060338,BD7,Bradford,England,Yorkshire & the Humber,01JZ3NRAWS7WV13FEN3N4G2AAZ,Coconut Chia Seed Pudding,Food , Snacks,Healthy Snacks,2.14,0.70,20,0.19,42.80,13.92,28.88,0.67
LMY-714091,2023-01-04,In-Store,MW024382,BS41,Bristol,England,South West,01JZ3NRA23JAGBH44BW5RPJQ1Q,Oven-Baked Parmesan Zucchini,Food , Frozen Vegetables,Frozen Veggie Snacks,4.14,1.50,18,0.28,74.52,26.93,47.59,0.64
IKM-998402,2023-01-04,In-Store,MW024382,GU32,Weston,England,South East,01JZ3NRA23JAGBH44BW5RPJQ1Q,Oven-Baked Parmesan Zucchini,Food , Frozen Vegetables,Frozen Veggie Snacks,4.14,1.50,20,0.40,82.80,29.92,52.88,0.64
FJJ-746960,2023-01-04,In-Store,TD068892,DL10,Whitwell,England,Yorkshire & the Humber,01JZ3N51MP6TFSE8G4Q51QJ3J2,Peanut Butter Protein Balls,Food , Snacks,Healthy Snacks,4.29,1.04,6,0.35,25.74,6.22,19.52,0.76
UCT-793513,2023-01-04,Online,IV058327,AB56,Milton,Scotland,Scotland,01JZ3NC7VBYZCSWFV8TY8KN23R,Frozen Acai Pur√©e,Food , Frozen,Frozen Fruits,6.14,1.60,19,0.12,116.66,30.34,86.32,0.74
MBR-718778,2023-01-04,Online,PC022229,NN4,Wootton,England,East Midlands,01JZ3NR2FKG04PANE275R3J1VZ,Pet Nail Clipper,Pets,Pets,Grooming Supplies,12.14,4.70,20,0.02,242.80,93.92,148.88,0.61
ZKG-474729,2023-01-04,In-Store,HU071636,AB56,Milton,Scotland,Scotland,01JZ3NR8NNF7M78AY6ZW4DM9N2,Adjustable Yoga Mat Strap,Fitness,Fitness,Yoga Equipment,14.14,5.50,13,0.27,183.82,71.45,112.37,0.61
TMQ-033141,2023-01-04,Online,KT055492,ST20,Marston,England,West Midlands,01JZ3N5A225K3TPTA4YVM91MTT,Hand Crank Blender,Kitchen,Kitchen,Small Appliances,18.14,5.20,5,0.00,90.70,25.99,64.72,0.71
KUB-651254,2023-01-04,In-Store,SC069071,CH48,Wirral,England,North West,01JZ3NR3ZXGXMWJCYTRV3A1DMS,Nature Explorer Lens Kit,Toys,Toys,Outdoor Play Toys,19.14,7.50,7,0.20,133.98,52.47,81.51,0.61
ISM-384915,2023-01-04,Online,YE085512,NG22,Milton,England,East Midlands,01JZ3NCDJB231G033HHJRQNR2V,Multicolored LED Strip Lights,Home,Home,Lighting & Lamps,29.14,8.50,11,0.36,320.54,93.47,227.07,0.71
YAJ-558924,2023-01-04,Online,GT026920,ST20,Marston,England,West Midlands,01JZ3NT5DHWYJN8Z913RW3HPQE,Smartphone Car Mount with Wireless Charging,Automotive,Automotive,Phone Accessories,39.24,15.75,9,0.02,353.16,141.71,211.45,0.60
BJK-144648,2023-01-04,In-Store,GW030557,L33,Liverpool,England,North West,01JZ3N59680B1EWWR2NZE4PKS5,Smartphone Gimbal Stabilizer,Photography,Photography,Gimbals & Stabilizers,89.14,26.50,1,0.04,89.14,26.50,62.64,0.70
VRM-848820,2023-01-04,Online,VP039957,LN6,Stapleford,England,East Midlands,01JZ3NC57N8W26E4AGY4ABYB4B,High-Top Leather Boots,Clothing , Footwear,Boots,99.14,29.50,7,0.28,693.98,206.48,487.50,0.70
HNT-122280,2023-01-05,Online,CX029462,CT16,Buckland,England,South East,01JZ3N53FB041Z827WE4SCE0SX,Chocolate Peanut Butter Cups,Food , Snacks,Candy,1.29,0.14,9,0.00,11.61,1.23,10.38,0.89
CZN-306045,2023-01-05,In-Store,WU034546,EC3M,London,England,London,01JZ3N5AMRBWTKBYCG0B8EFBEC,Creamy Garlic Dressing,Food , Condiments,Dressing,3.14,0.70,18,0.28,56.52,12.55,43.97,0.78
DEW-393262,2023-01-05,Online,CM008593,N3,Church End,England,London,01JZ3NT6DAD10JTS3Q38AZPJWA,Mixed Berry Smoothie Pack,Food , Frozen Food,Frozen Fruits,5.14,1.90,10,0.00,51.40,18.96,32.44,0.63
PBW-635147,2023-01-05,In-Store,UI019195,CT16,Buckland,England,South East,01JZ3NCF5XZ4XKCH8GA8QR4A4G,Multi-Purpose Marine Rope,Outdoor,Outdoor,Outdoor Recreation,19.14,5.50,2,0.22,38.28,10.99,27.29,0.71
TQS-722237,2023-01-05,In-Store,GE015518,WF9,Upton,England,Yorkshire & the Humber,01JZ3NR35HDFH05EMRR8KAYZ4Y,Smart WiFi Plug,Smart Home,Smart Home,Smart Plugs & Outlets,19.14,7.50,6,0.00,114.84,44.98,69.86,0.61
TYQ-090618,2023-01-05,In-Store,DC079292,SY4,Pentre,Wales,Wales,01JZ3NQZYMEN37E684SXYMNSXZ,Smartphone Projector Kit,Electronics,Electronics,Home Entertainment Equipment,24.14,9.50,18,0.29,434.52,170.93,263.59,0.61
ROR-217381,2023-01-05,In-Store,LG092675,BD7,Bradford,England,Yorkshire & the Humber,01JZ3NTE8BJGV0VS79VNE2Z5Z3,High-Waisted Skirt,Clothing , Bottoms,Bottoms,34.24,13.75,7,0.08,239.68,96.22,143.46,0.60
DPZ-333035,2023-01-05,Online,OO027396,BD7,Bradford,England,Yorkshire & the Humber,01JZ3NCFD71YH5WHMXEPZ47FT4,Ceramic Bakeware Set,Kitchen,Kitchen,Cookware,49.24,14.75,5,0.09,246.20,73.74,172.47,0.70
EXK-119624,2023-01-05,In-Store,VC082663,DL8,Carlton,England,Yorkshire & the Humber,01JZ3N53PVFK5B54PNRJ2J3Y6H,Portable Charcoal Grill,Outdoor,Outdoor,Grilling Accessories,88.99,26.45,20,0.40,1779.80,528.94,1250.86,0.70
KXX-901098,2023-01-05,In-Store,RX097362,DN36,West End,England,East Midlands,01JZ3NCEZ4MJHM8CT3CAHK2ZQK,Digital Wireless Camera,Home Security,Home Security,Cameras,199.24,59.75,15,0.04,2988.60,896.21,2092.40,0.70
ESD-619570,2023-01-05,Online,LX074998,WF9,Upton,England,Yorkshire & the Humber,01JZ3NR8NVXX9VHHY39BPRYYK8,Smart Air Purifier,Home,Home,Air Quality & Purification,199.24,79.75,1,0.06,199.24,79.75,119.49,0.60
CNX-843304,2023-01-06,Online,FX008936,CB4,Church End,England,East of England,01JZ3NR35530H2HQJ328MVW3PM,Creamy Ranch Dressing,Food , Dressings,Dressings,1.64,0.50,13,0.38,21.32,6.45,14.87,0.70
CFY-221062,2023-01-06,In-Store,GQ074380,LS9,Halton,England,Yorkshire & the Humber,01JZ3N5547K8A3135D361ANBZS,Balsamic Salad Dressing,Food , Deli,Dips/Spreads,1.99,0.35,8,0.02,15.92,2.78,13.14,0.83
GTL-145079,2023-01-06,In-Store,GR028974,CT16,Buckland,England,South East,01JZ3N522XJXR6F5PYTSBZEQC7,Jalape√±o Cornbread,Food , Bakery,Breads,2.29,0.44,7,0.25,16.03,3.06,12.97,0.81
FLE-699612,2023-01-06,In-Store,RW020820,LE15,Seaton,England,East Midlands,01JZ3NC79BVY88G9AN47EJ1BZ0,Garlic and Herb Rub,Food , Spices,Herb Blends,2.29,0.69,3,0.18,6.87,2.06,4.81,0.70
RPP-420412,2023-01-06,In-Store,WT058790,WC2H,London,England,London,01JZ3NT1E4RWQHFS3TCX5078CZ,Creamy Avocado Dip,Food , Snacks,Dips and Spreads,2.64,0.90,5,0.30,13.20,4.48,8.72,0.66
JFY-790130,2023-01-06,Online,HW017159,OX12,Charlton,England,South East,01JZ3N5A3JPCYRAYCYF9AJSQ1H,Frozen Fruit Medley,Food , Frozen Foods,Frozen Fruits,5.14,1.30,15,0.30,77.10,19.46,57.65,0.75
DXK-976281,2023-01-06,In-Store,HI073700,AB39,Aberdeen,Scotland,Scotland,01JZ3NCDPR71Z9JJ4RHNK2CHNT,Car Windshield Sun Shade,Automotive,Automotive,Automotive Accessories,19.14,5.50,14,0.10,267.96,76.96,191.00,0.71
LUR-796070,2023-01-06,In-Store,MC044239,KW10,Kirkton,Scotland,Scotland,01JZ3NR955VWRRV225TP1F55NP,Motion Sensor Light,Home,Home,Lighting & Lamps,19.24,7.75,16,0.04,307.84,123.94,183.90,0.60
AMO-819714,2023-01-06,Online,CT044510,BS41,Bristol,England,South West,01JZ3NR307VRRB9597P3SH1VTK,Pet Training Pads,Pets,Pets,Training Supplies,24.14,9.50,1,0.15,24.14,9.50,14.64,0.61
SFH-561287,2023-01-06,In-Store,QX002232,GU32,Weston,England,South East,01JZ3N5CX0F6D6VK30GJXHHH69,Glass Water Bottle,Fitness,Fitness,Hydration Gear,25.14,7.30,13,0.15,326.82,94.86,231.96,0.71
FRL-740045,2023-01-06,Online,LA090979,M34,Denton,England,North West,01JZ3N562BJCD5873K8P6SBEBH,Travel Yoga Mat,Fitness,Fitness,Yoga Equipment,33.99,9.95,18,0.34,611.82,179.05,432.77,0.71
TJK-137016,2023-01-06,Online,HK099800,SW1E,London,England,London,01JZ3NR7B209HYNXYRYKMSYB7M,Cordless Water Flosser,Health,Health,Oral Care & Hygiene,49.14,19.50,15,0.15,737.10,292.44,444.66,0.60
ZDD-139459,2023-01-07,Online,SK080811,CB4,Church End,England,East of England,01JZ3NCC7G4W5WBK9S46T36JXE,Lemonade Mix,Food , Beverages,Drink Mixes,1.24,0.35,6,0.02,7.44,2.08,5.36,0.72
CDW-894443,2023-01-07,Online,GS018157,OX7,Dean,England,South East,01JZ3NRA34M61113YYA8NCT0S9,Classic BBQ Sauce,Food , Condiments,BBQ Sauces,2.04,0.87,11,0.09,22.44,9.53,12.91,0.58
VBE-539129,2023-01-07,Online,LY095086,BS41,Bristol,England,South West,01JZ3N51GQPPBPBWQQV6NEC6PS,Artisan Bread,Food , Bakery,Breads,3.59,0.83,7,0.22,25.13,5.79,19.34,0.77
DYF-673829,2023-01-07,Online,EB065659,NN4,Wootton,England,East Midlands,01JZ3NR546PS969FMS46Y0DA7E,Spicy Kimchi,Food , Condiments,Fermented Condiments,4.04,1.67,2,0.09,8.08,3.33,4.75,0.59
WDO-747728,2023-01-07,In-Store,EO019371,EH52,Burnside,Scotland,Scotland,01JZ3NC650AT0XTG8T334HP0NT,Pepperoni Pizza Roll-Ups,Food , Frozen Foods,Frozen Snacks,5.14,1.30,19,0.01,97.66,24.64,73.02,0.75
JEQ-716492,2023-01-07,In-Store,QX046510,EC1V,London,England,London,01JZ3NSYHSGQ83PTBKHDNB40TZ,Spinach and Ricotta Ravioli,Food , Pasta,Pasta,5.74,2.35,2,0.09,11.48,4.69,6.79,0.59
ZCW-878090,2023-01-07,In-Store,RI023058,LS9,Halton,England,Yorkshire & the Humber,01JZ3NCCCVEZPAR7Y8H6RXCKPQ,Smartphone Stand,Accessories,Accessories,Mobile Accessories,14.64,4.15,19,0.07,278.16,78.79,199.37,0.72
VSZ-627821,2023-01-07,In-Store,UP033830,LE16,Middleton,England,East Midlands,01JZ3NCCAAEQ7GEDV005JJVCTN,Scented Soy Candles,Home,Home,Home Fragrance & Accessories,19.14,5.50,9,0.06,172.26,49.47,122.79,0.71
XMJ-043932,2023-01-07,In-Store,OX028733,L33,Liverpool,England,North West,01JZ3N52NFZRJ402FXEJS18YF6,Pest Control Traps,Home,Home,Home Organization,21.99,6.35,8,0.17,175.92,50.78,125.14,0.71
GJO-118618,2023-01-07,In-Store,VJ077915,NE46,Newbiggin,England,North East,01JZ3NC50TB04APWM2YHMXVHM6,Mesh Sports Leggings,Clothing , Activewear,Leggings,39.14,11.50,19,0.27,743.66,218.44,525.22,0.71
IQM-081846,2023-01-08,In-Store,ME044653,M14,Manchester,England,North West,01JZ3N5D553RF553K9PBW206JY,Chili Powder,Food , Spices,Seasoning Blends,1.24,0.13,15,0.24,18.60,1.91,16.70,0.90
LLJ-190381,2023-01-08,In-Store,RP040536,LE15,Seaton,England,East Midlands,01JZ3NR848MR60K9R4D5B78F2T,Homestyle Chicken Noodle Soup,Food , Canned Goods,Soups & Broths,2.14,0.70,4,0.37,8.56,2.78,5.78,0.67
RCQ-617965,2023-01-08,Online,CW016254,SY4,Pentre,Wales,Wales,01JZ3N57BFXKC7V3CAK7PDQFYD,Frozen Cauliflower Rice,Food , Frozen Foods,Frozen Vegetables,2.14,0.40,7,0.19,14.98,2.78,12.20,0.81
RXN-957196,2023-01-08,Online,BY000645,WC2H,London,England,London,01JZ3NC9ETTP8QPZ6WJZWSBZRF,Lentils,Food , Grains,Legumes,2.24,0.65,10,0.02,22.40,6.47,15.93,0.71
OLB-358268,2023-01-08,Online,PQ058676,SN1,Swindon,England,South West,01JZ3NC5SPYXCR4ZQPK8H1RGQJ,Ginger Turmeric Tea,Food , Beverages,Herbal Tea,2.64,0.55,4,0.03,10.56,2.19,8.37,0.79
FUS-932721,2023-01-08,Online,VH033717,EC1V,London,England,London,01JZ3NCA9YGQS0HMZEB2H5DRPY,Raisin Cinnamon Granola,Food , Cereals,Granola,3.04,0.89,15,0.08,45.60,13.31,32.30,0.71
CAO-853774,2023-01-08,In-Store,SY098673,OX7,Dean,England,South East,01JZ3N518RPNE3VT4K9NMH7RNA,Fridge Magnet Set,Home,Home,Kitchen Accessories,14.99,4.25,12,0.34,179.88,50.96,128.92,0.72
CGM-940703,2023-01-08,Online,BP009480,EC1V,London,England,London,01JZ3NC7B86JEQRHTJTFX0FSGK,Reusable Produce Bags Set,Kitchen,Kitchen,Eco-Friendly Kitchen Products,14.99,4.50,7,0.17,104.93,31.48,73.45,0.70
TXW-177799,2023-01-09,Online,QE036054,EC1V,London,England,London,01JZ3NC4WDJ7SHR4460Z6EXVN0,Sliced Olives,Food , Condiments,Olives,1.14,0.10,3,0.00,3.42,0.29,3.13,0.91
KZQ-956779,2023-01-09,In-Store,HU035037,G4,Glasgow,Scotland,Scotland,01JZ3NR1T1K3AVBWPFJWKMNTWQ,Tuna Fish (canned),Food , Canned Goods,Seafood,1.44,0.42,12,0.09,17.28,4.99,12.29,0.71
KQO-676066,2023-01-09,In-Store,ZZ015342,SY4,Pentre,Wales,Wales,01JZ3N572S4RVA29Y33YRWH174,Honey Butter Popcorn,Food , Snacks,Gourmet Snacks,1.99,0.35,11,0.16,21.89,3.82,18.07,0.83
PYR-443231,2023-01-09,Online,FZ088517,N3,Church End,England,London,01JZ3NR8K60XHYJ570MNJ7H25A,Teriyaki Sauce,Food , Condiments,Asian Sauces,2.14,0.70,2,0.40,4.28,1.39,2.89,0.67
MHY-476575,2023-01-09,In-Store,TQ028619,GL54,Ford,England,South West,01JZ3NCG1XR9VE4JBYB92Z3Y93,Spicy Thai Coconut Soup,Food , Soups,Specialty Soups,3.24,0.95,5,0.04,16.20,4.74,11.47,0.71
PDX-076814,2023-01-09,In-Store,SC094075,LS6,Leeds,England,Yorkshire & the Humber,01JZ3NC5JPGCSKHFQBQ6XA0JY9,Trail Mix (Deluxe),Food , Snacks,Nuts and Trail Mix,4.59,1.38,16,0.35,73.44,22.03,51.41,0.70
AEM-102909,2023-01-09,In-Store,PE014481,B40,Birmingham,England,West Midlands,01JZ3NTD50AM65JXPW7XTHKV04,Frozen Mixed Berries,Food , Frozen Foods,Frozen Fruits,5.14,1.90,4,0.12,20.56,7.58,12.98,0.63
ITW-341921,2023-01-09,Online,BK006338,BS14,Whitchurch,England,South West,01JZ3N53GPW13AS433J07PHRXR,Pet Hair Vacuum Attachment,Pets,Pets,Grooming Supplies,13.99,3.95,13,0.37,181.87,51.31,130.56,0.72
YEY-600608,2023-01-09,In-Store,YR020187,CH48,Wirral,England,North West,01JZ3N59HWZH3BN0Q0AEGHD49W,Portable UV Sterilizer,Health,Health,Health Devices,19.99,6.00,11,0.28,219.89,65.97,153.92,0.70
UBK-782925,2023-01-09,Online,GL002868,M34,Denton,England,North West,01JZ3NR307VRRB9597P3SH1VTK,Pet Training Pads,Pets,Pets,Training Supplies,24.24,9.75,1,0.07,24.24,9.75,14.49,0.60
MBN-901851,2023-01-09,Online,VX097799,W1F,London,England,London,01JZ3NC5WK5HESVSX6G4Z99S4J,Comfort Flats,Clothing , Shoes,Casual Footwear,44.14,13.00,2,0.15,88.28,25.99,62.29,0.71
TSB-135999,2023-01-10,In-Store,VD020504,NN4,Wootton,England,East Midlands,01JZ3NR3BE82J71WXYWZQRZC1S,Puffed Rice Cake,Food , Snacks,Savory Snacks,1.64,0.50,2,0.31,3.28,0.99,2.29,0.70
CEO-979203,2023-01-10,In-Store,XY048815,SW19,Merton,England,London,01JZ3NR5VR2QJDZ97NV2F9Y0B8,Chipotle Seasoning Blend,Food , Spices,Regional Seasoning Blends,1.74,0.75,16,0.00,27.84,11.94,15.90,0.57
SID-159069,2023-01-10,In-Store,CA010518,LS6,Leeds,England,Yorkshire & the Humber,01JZ3N55GPDCTQ0M16H985G9CF,Cinnamon Raisin Bread,Food , Bakery,Breads,2.79,0.59,19,0.22,53.01,11.15,41.86,0.79
TUZ-418731,2023-01-10,Online,AB038835,SW19,Merton,England,London,01JZ3N5BZVK5QD2VHX6A87VPPH,Sushi Rice,Food , Grains,Specialty Rice,3.14,0.70,4,0.26,12.56,2.79,9.77,0.78
OQS-993835,2023-01-10,Online,OI064452,S1,Sheffield,England,Yorkshire and the Humber,01JZ3N50M2T2VK7SYHD0H7GERG,Zesty Garlic Marinade,Food , Condiments,Marinades and Sauces,3.49,0.80,12,0.36,41.88,9.56,32.32,0.77
HEV-693427,2023-01-10,In-Store,JB087618,NG34,Newton,England,East Midlands,01JZ3N5A8VAX9WW7CZ9W2N56QG,Collapsible Pet Dog Bowl,Pets,Pets,Pet Accessories,9.14,2.50,15,0.33,137.10,37.46,99.65,0.73
KXM-285628,2023-01-10,Online,JK055353,WC1B,London,England,London,01JZ3N56FMK88JP6CYAXWQPHV3,Active Racerback Tank,Clothing , Tops,Activewear,23.99,6.95,17,0.12,407.83,118.10,289.73,0.71
WAF-093995,2023-01-10,In-Store,BN069579,GU32,Weston,England,South East,01JZ3NCB9BVTD8QKXBB3W5W8KP,Magnetic Spice Jars,Kitchen,Kitchen,Kitchen Storage & Organization,24.24,7.25,9,0.01,218.16,65.22,152.94,0.70
IPD-317009,2023-01-10,Online,MG062062,NG22,Milton,England,East Midlands,01JZ3N54YNF3F28Q5VXFBZYJX9,Collapsible Folding Chair,Outdoor,Outdoor,Camping Equipment,28.99,8.45,20,0.17,579.80,168.94,410.86,0.71
PSM-225744,2023-01-10,Online,IR005341,S33,Hope Valley,England,East Midlands,01JZ3N56K2VDF9W3Z62NENPAP4,Kids' Art Supplies Kit,Toys,Toys,Creative Arts & Crafts,28.99,8.45,13,0.11,376.87,109.81,267.06,0.71
